name,lat,long,cnt
AIDED H.P.S.ELUMALAI,9.86418563,77.70274933,3
VISWA VIDYALAYA MATRICULATION  HIGHER SECONDARY SCHOOL., ELUMALAI,9.867774749,77.70915427,48
P.U.P.S. ELUMALAI,9.867145922,77.69635059,19
GOVT HR SEC SCHOOL, ELUMALAI,9.865304102,77.70093043,17
GOVT GIRLS HR SEC SCHOOL, ELUMALAI,9.863933253,77.69492682,70
P.U.M.S. E.GOPALAPURAM,9.883593846,77.69674294,27
P.U.P.S. E.PERUMALPATTI,9.874249858,77.67674809,43
P.U.P.S.VANKINARAYANAPURAM,9.858230783,77.69117842,55
VIVEKANANDA MIDDILE SCHOOL, ELUMALAI,9.851447534,77.69227088,23
P.U.P.S AVALSERI,9.831341922,77.77401768,24
PU MIDDLE SCHOOL , KOONAVELAMPATTI,11.44879,78.14086,50
PU ELEMENTRY SCHOOL KOONAVELAMPATTI PUDUR,11.4477,78.14876,56
PUE SCHOOL PERUMBALI,11.45571,78.14372,37
GOVT HIGH SCHOOL,KUNAVELAMPATTY PUDUR,11.45687,78.1477,22
PUPS,AANAIKUPPAM,10.8447229,79.60351482,72
GHSS   ANAIKUPPAM,10.843185,79.603478,43
PUPS,MAPPILAIKUPPAM,10.866505,79.613952,61
GHS, MAPPILAIKUPPAM,10.866534,79.614068,40
PUPS ,MOOLAMANGALAM,10.86355834,79.6197983,71
APS,SALIPPERI,10.86070445,79.59704323,21
PUPS MENALLUR,12.7471,79.71147,42
PUMS CHINNAKALLAPADI,12.08938,79.10638,61
PUPS ANNANAGAR,12.38834,79.16068,99
PUPS KARKONAM,12.40092,79.15115,65
PUPS METTUKARKONAM,12.39822,79.14068,83
PUMS ANAIVADI COLONY,12.45647,79.12491,54
PUPS KARAIYAMPADI,12.47188,79.12712,21
PUMS USAMBADI,12.31544,79.07344,70
GHSS ATHIMOOR,12.53594396,79.08101473,26
PUPS EARIKOLLAI,12.54862,79.0628,81
PUMS, KALLIKKUDI,10.77498088,79.68420181,27
PUPS PALIYAPURAM,10.7683,79.68699,100
PUPS  KANNUR,10.76578354,79.69470541,32
PUPS DURAIKUDI,10.66301372,79.63465432,21
PUPS AGALANGAN,10.69721197,79.7866779,21
PUMS VADAKKALATHUR,10.73863,79.74831,73
PUMS VADAKKUPANAIYUR,10.66524,79.73488,56
PUPS AGARAM,10.66037,79.75225,41
AMS-KEELAVALAKKARAI,10.62903165,79.750795,71
APS CHOTTALVANNAM,10.74744,79.74084,91
GHSS KEEZHAIYUR,10.61629667,79.767875,15
PUPS KEEZHAIYUR,10.61618502,79.767585,53
PUNITHA FATHIMA MATRICULATION SCHOOL THIRUPOONDI,10.63640166,79.81381,31
GHSS THIRUPOONDI,10.62760999,79.8098267,86
PUMS - KEELAVASTHACHAVADI,10.76201,79.16971,12
PUMS - SURAKKOTTAI,10.73425,79.18961,75
PUPS - KORIKULAMPUDHU THERU,10.75839,79.1526,83
BLOSSOM PUBLIC SCHOOL -SURAKKOTAI,10.75859,79.16916,100
PONNAIYAH  RAMAJAYAM PUBLIC SCHOOL-SOORAKOTTAI,10.7576,79.17838,91
PUMS NARAIKINARU,11.49097536,78.40900124,71
PUPS PUDHUMOTTUR,11.474071,78.418128,21
PUMS - NATHANKOIL,10.92314,79.37222,65
THE SCHRAM ACADEMY,13.06901,80.16271909,23
NETHRODAYA SPECIAL SCHOOL FOR VI & LD,13.07844,80.17245467,56
